id,name,common_flg,varietal_type,description
30,Gewurztraminer,Y,White,"German name, Italian origins (Termin); produces spicy (wurzig) aromatic whites in France?s Alsace region. Big wines?lots of flavor if occasionally simple."
31,Graciano,N,Red,"Spanish red varietal (small black grapes in Rioja and Navarra) producing high acid juice, blends nicely with tempranillo."
32,Grenache/Garnacha,Y,Red,"Prolific easy-ripening red popular in southern Rhone and Spain."
33,"Grenache Blanc",Y,White,"Cotes-du-Rhone white varietal. Easy ripeness and alcohol makes it popular among growers."
34,"Gruner Veltliner",N,White,"The Austrian national treasure?either light dry wines for guzzling in cafe, or profound fullbodied whites of a Burgundian cast. Characteristic green-pepper snap, nice citric aromas."
35,Huxelrebe,N,Red,"German crossing which ripens rather easily, and produces high-Pradikat wines of no particular distinction"
36,"Ives noir",N,Red,"We needed an item beginning with ?I? and discovered this rare bird hiding up in the Finger Lakes."
37,Jacquere,N,White,"White grape making light crisp whites in Savoie."
38,Kerner,N,White,"Slightly unique crossing of riesling with trollinger (that?s a white with a red?), spicy soft wines from the Pfalz."
39,Klevner,N,Red,"Occasionally called pinot blanc in Alsace, as is auxerrois?the two are sometimes rather casually blended."
40,Lemberger,N,Red,"Red German varietal, (Austria?s Blaufrankisch) some tasty wines, some merely quirky. Not so distinctively aromatic as the homophonous formaggio?"
41,Malbec,Y,Red,"Useful Bordeaux blender, stands alone in Cahors where it yields big reds of character, and in Argentina, where it is responsible for a number of interesting medium-priced wines."
42,Malmsey,N,Red,"Madiera?s name for the malvasia, producing rich sweet fortified wines. See ?Duke of Clarence??"
43,Malvasia,N,White,"A collection of white varietals of distant Greek origin, often blended in Italy and Spain to yield wines of interest."
44,"Marechal Foch",N,Red,"French/American hybrid red. Planted in the eastern US, with no spectacular results."
45,Marsanne,Y,White,"White Rhone favorite, also grown in state of Victoria."
46,"Melon de Bourgogne",N,Red,"The grape of Muscadet. Also much of what?s been called pinot blanc in Califonia."
47,Merlot,Y,Red,"Source of the rare and precious Pomerol (and St. Emilion) in Bordeaux, along with a lot of nondescript soft reds from California and sometimes from Australia. Occasionally interesting as an Italian, from Tuscany, Friuli and elsewhere."
48,Molinara,N,Red,"Important member of the Valpolicella syndicate."
49,Montepulciano,N,Red,"The grape, not the village. Planted in the Abruzzo and the Marche regions of eastern Italia. Soft interesting reds. On the rise."
50,Mourvedre/mataro,N,Red,"Spanish, Cotes du Rhone and Provencial reds, frequently of great distinction, particularly when vines are old and yields are kept in check. Does nicely in California."
51,Muller-thurgau,N,Red,"German crossing of Riesling and Sylvaner, rarely distinguished."
52,Muscadelle,N,Red,"Sometimes seen in Sauternes blends, and in Gaillac."
53,Muscat,Y,Red,"Grand Cru Alsace, bright spritzy Portuguese, grand and viscous Australian fortified desserts?"
54,Muskateller,N,White,"Dry, spicy, tropical-fruit-toned whites from Austria and Germany."
55,Nebbiolo,Y,Red,"From Piemonte, the great red grape of Barolo and Barbaresco. Country-cousins are Gattinara, Ghemme, and Carema. Also called spanna?its home tag."
56,Negromaro,N,Red,"Southern Italian red?name means ?black and bitter.? Any questions?"
57,Norton,N,Red,"Indigenous Virginia varietal, famous for the Monticello clarets in the 19th century, occasionally observed nowadays to produce real wine."
58,Odjaleshi,N,Red,"Red from (formerly Soviet) Georgia."
59,Ortega,N,Red,"German heavyweight of no real distinction."
60,Palomino,N,White,"Spanish white, used to make dry sherries, and blended with PX to make the sweeter ones."
61,Parellada,N,Red,"Solid component of fizzy Cava in the Penedes region of Spain."
62,"Pedro Ximenez",N,Red,"PX makes fabulously rich sweet wines in Montilla, and is used to enrich cream sherries"
63,"Petite Verdot",Y,Red,"Bordeaux blender?if it wasn?t there, you?d miss it."
64,"Petite Sirah",Y,Red,"A blender essential for making Zinfandel into great wine. Occasionally interesting as a varietal, now thought to be a loose confederation of some half-dozen minor French types planted together as a field blend in Sonoma, mostly 100 years ago."
65,"Pinot Auxerrois",N,White,"Crisp Alsace whites, communicating interesting mineral tones."
66,"Pinot Blanc",Y,White,"Light bodied gently spiced whites from Alsace, occasionally masquerades as Weissburgunder in Germany where it makes big fat wines."
67,"Pinot Gris /Pinot Grigio",Y,White,"Produces whites both sublime and ridiculous in Alsace and Italy. Very fleshy and masculine in the former, light and dry in the latter. Planted in Oregon, where it produces some of the most interesting American whites, very much after the Alsace model. The Germans usually call it Grauburgunder?  They plant it in the south, in Baden, Franconia, the Pfalz."
68,"Pinot Noir",Y,Red,"The brilliant?if occasionally difficult?red grape of Burgundy. Does well in California, Oregon, Germany, occasionally in Victoria. A standout in Champagne."
69,"Pinot Meunier",N,Red,"Thusly named because the plant looks like the miller (Le Meunier) has been dusting the leaves with flour. Germans call it Mullerrebe for the same reason. Important third in the trio of champagne varietals, where it?s a sponge for soaking up terroir. "
70,Pinotage,Y,Red,"South African crossing of cinsault and pinot noir. Interesting aromatic middleweight."
71,Primitivo,Y,Red,"Southern Italian red genetically resonant with California?s zinfandel."
72,Quagliano,N,Red,"Makes pale red sparklers in Piemonte, and begins with ?q.?"
73,Riesling,Y,White,"Great white grape of Germany, Austria, Alsace?very much a magnet for earth-tones, even with all of its glorious fruit?very popular once upon a time in Australia, and occasionally offering interesting wines in California."
74,Rondinella,N,Red,"See Corvina and Molinara."
75,"Roter Veltliner",N,White,"Wachau-region rarity from Austria. White wine, despite the red label."
76,Roussane,Y,White,"Cotes du Rhone white grape. Nice soft, oily texture, spring flowers in the nose."
77,Rulander,N,Red,"Name used in Germany for the grauburgunder (pinot gris) when it yields a dessert wine. Ruland was the guy who brought the grape to Germany from Burgundy."
78,"Saint George",N,Red,"This is Greek wine, made by wine Greeks. Red of sometimes surprisingly substantial character."
79,Sangiovese/prugnolo,Y,Red,"The great red grape of Tuscany?Chianta, Vino Nobile di Montepulciano, and (as sangioveto grosso) Brunello."
80,"Sankt Laurent",N,Red,"Earthy Austrian red with spicy aromatics, often interesting."
81,"Sauvignon blanc",Y,White,"Crisp dry whites on the Loire and from New Zealand, frequently overoaked pseudochards in California, surprisingly good in Austria?s Steiermark."
82,Saperavi,N,Red,"Another Georgian."
83,Scheurebe,N,White,"1916 crossing of Riesling and Sylvanner?German whites both dry and sweet with magnificent tropical fruit aromas, burgundian texture."
84,Schwarzriesling,N,Red,"Franconian name for Mullerrebe, which is German name for pinot meunier."
85,Scuppernong,N,Red,"Slightly obscene-sounding eastern American wild thing with fabulously proportioned vines and forgettable wines."
86,Semillon,Y,White,"Bordeaux white, prime mover of the great dessert wines of Sauternes. Good figgy-aromatic dry whites from Graves, quite interesting dry whites from Australia, where it also blends well with chardonnay."
87,Siegerrebe,N,White,"This German white type will even ripen in England!"
88,Syrah/Shiraz,Y,Red,"Oh boy! The great long-living reds of the northern Cotes-du-Rhone, frequently impressive in California, interesting in Italy, Spain and Argentina?as Shiraz the benchmark for Australian red wine, where it shows a variety of styles, from soft and fruity to world-class profound. Also grown in South Africa."
89,Sylvaner,N,White,"Slightly rustic mildly spicy white from Alsace and Germany."
90,Tempranillo,Y,Red,"The great red grape of Spain, seen in many guises (Cencibel, Tinta del Pais, Tinto Fino, Tinto de Toro, et al) from the more delicate medium-bodied traditional Riojas to the rich, full bodied, more Bordeaux-like Ribera del Dueros to the powerfully ripe Toros."
91,"Tocai Friulano",N,White,"aka sauvignon vert, sometimes bottled in Chile as sauvignon blanc; some nice crisp whites."
92,"Touriga Nacional",N,Red,"Important in creating the great Portuguese fortified wines of Oporto."
93,Trebbiano,N,Red,"Italian of many uses (ugni blanc in France) including the vin santo of Tuscany."
94,"Ugni Blanc",N,White,"Used to make Armagnac in Gascony, and to make wine by people who are too impatient to make Armagnac."
95,"Vidal Blanc",N,White,"American /French white hybrid of little virtue."
96,Viognier,Y,White,"Honeysuckle, orange-rind, mango-tinged aromatics. Silky textured white on the northern Cotes du Rhone, fat and succulent in California."
97,Viura,N,White,"Good solid aromatic white Spaniard, also known as Macabeo in France and Catalunyia. Needs no oak to smell nice."
98,Welschriesling,N,Red,"Austrian varietal known for massively rich and spicy dessert wines, decent dry onces."
99,Xarello,N,Red,"Finds its way into fizz in Spain?s Penedes."
100,Yuga,N,Red,"Y? Because we love you."
101,Zinfandel,Y,Red,"The great American success story. Spicy rich complex wines, particularly in Sonoma; hulking monolithic offerings from Amador and elsewhere in the Sierra Nevada range."
102,Zweigelt,N,Red,"Austrian red, the source of many easy-quaffers, but with a bit of what almost might be considered pinot noir character."
103,"Red Blend",Y,Red,"Proprietors blend of red wines - no more than 49% of any single grape"
104,"White Blend",Y,White,"Proprietors blend of red wines - no more than 49% of any single grape"
105,Desert,Y,Red,"Sweet Desert Wine"
106,Rose/Blush,Y,Blush,"A typically blush or light red wine made from red grapes with skins removed early in the crush processing to produce a pink colored wine."
